Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:CBA,"Commonwealth Bank (ASX:CBA)",https://www.listcorp.com/asx/cba/commonwealth-bank,"	282949000000",170.55,1.47,0.87,Financials
ASX:BHP,"BHP Group Limited (ASX:BHP)",https://www.listcorp.com/asx/bhp/bhp-group-limited,"	216616000000",42.77,0.12,0.28,Materials
ASX:WBC,"Westpac Banking Corp (ASX:WBC)",https://www.listcorp.com/asx/wbc/westpac,"	131000000000",38.37,0.07,0.18,Financials
ASX:NAB,"National Australia Bank Limited (ASX:NAB)",https://www.listcorp.com/asx/nab/national-australia-bank-limited,"	128219000000",42.11,0.25,0.6,Financials
ASX:CSL,"CSL Limited (ASX:CSL)",https://www.listcorp.com/asx/csl/csl-limited,"	104183000000",216.515,1.36,0.63,"Health Care"
ASX:WES,"Wesfarmers Limited (ASX:WES)",https://www.listcorp.com/asx/wes/wesfarmers-limited,"	103664000000",92.33,0.94,1.03,"Consumer Discretionary"
ASX:ANZ,"ANZ Group Holdings Limited (ASX:ANZ)",https://www.listcorp.com/asx/anz/anz-group-holdings-limited,"	98903700000",33.37,0.22,0.66,Financials
ASX:MQG,"Macquarie Group Limited (ASX:MQG)",https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	85603700000",224.81,0.20,0.09,Financials
ASX:GMG,"Goodman Group (ASX:GMG)",https://www.listcorp.com/asx/gmg/goodman-group,"	69160700000",34.125,0.07,0.22,"Real Estate"
ASX:FMG,"Fortescue Ltd (ASX:FMG)",https://www.listcorp.com/asx/fmg/fortescue-ltd,"	59177700000",19.21,-0.01,-0.05,Materials
ASX:TLS,"Telstra Group Limited (ASX:TLS)",https://www.listcorp.com/asx/tls/telstra-group-limited,"	56697400000",4.885,-0.10,-1.91,"Communication Services"
ASX:WDS,"Woodside Energy Group Ltd (ASX:WDS)",https://www.listcorp.com/asx/wds/woodside-energy-group,"	51323200000",27.11,0.08,0.3,Energy
ASX:TCL,"Transurban Group (ASX:TCL)",https://www.listcorp.com/asx/tcl/transurban-group,"	45744500000",14.68,-0.01,-0.07,Industrials
ASX:ALL,"Aristocrat Leisure Limited (ASX:ALL)",https://www.listcorp.com/asx/all/aristocrat-leisure-limited,"	44621500000",71.83,-0.03,-0.04,"Consumer Discretionary"
ASX:RIO,"Rio Tinto (ASX:RIO)",https://www.listcorp.com/asx/rio/rio-tinto,"	42845800000",115.36,-0.06,-0.05,Materials
ASX:WOW,"Woolworths Group Limited (ASX:WOW)",https://www.listcorp.com/asx/wow/woolworths-group,"	40825700000",29.95,-3.47,-10.38,"Consumer Staples"
ASX:WTC,"WiseTech Global Limited (ASX:WTC)",https://www.listcorp.com/asx/wtc/wisetech-global-limited,"	38732600000",98.69,-17.06,-14.74,"Information Technology"
ASX:BXB,"Brambles Limited (ASX:BXB)",https://www.listcorp.com/asx/bxb/brambles-limited,"	35719900000",26.22,0.09,0.34,Industrials
ASX:REA,"REA Group Ltd (ASX:REA)",https://www.listcorp.com/asx/rea/rea-group,"	34074400000",251.91,-6.01,-2.33,"Communication Services"
ASX:SIG,"Sigma Healthcare Limited (ASX:SIG)",https://www.listcorp.com/asx/sig/sigma-healthcare-limited,"	32553200000",2.91,0.09,3.19,"Health Care"
ASX:QBE,"QBE Insurance Group Limited (ASX:QBE)",https://www.listcorp.com/asx/qbe/qbe-insurance-group-limited,"	31951900000",21.38,0.22,1.04,Financials
ASX:PME,"Pro Medicus Limited (ASX:PME)",https://www.listcorp.com/asx/pme/pro-medicus,"	31602000000",304.215,1.84,0.61,"Health Care"
ASX:COL,"Coles Group Limited (ASX:COL)",https://www.listcorp.com/asx/col/coles-group-limited,"	30179400000",22.78,0.28,1.24,"Consumer Staples"
ASX:XRO,"Xero Limited (ASX:XRO)",https://www.listcorp.com/asx/xro/xero-limited,"	27130900000",164.3,0.25,0.15,"Information Technology"
ASX:NST,"Northern Star Resources Limited (ASX:NST)",https://www.listcorp.com/asx/nst/northern-star-resources-limited,"	26599100000",19.27,0.67,3.6,Materials
ASX:STO,"Santos Limited (ASX:STO)",https://www.listcorp.com/asx/sto/santos-limited,"	25884700000",7.955,-0.02,-0.19,Energy
